date,healthy,sick
2017-06-25,85.9,14.1
2017-07-02,92.2,7.8
2017-07-09,93.8,6.2
2017-07-16,90.2,9.8
2017-07-23,93.7,6.3
2017-07-30,94.8,5.2
2017-08-06,89.5,10.5
2017-08-13,89.7,10.3
2017-08-20,89.4,10.6
2017-08-27,83.2,16.8
2017-09-03,85.8,14.2
2017-09-10,84.5,15.5
2017-09-17,79,21
2017-09-24,80.6,19.4
2017-10-01,85,15
2017-10-08,90,10
2017-10-15,91.2,8.8
2017-10-22,85.4,14.6
2017-10-29,84,16
2017-11-05,85.8,14.2
2017-11-12,86.8,13.2
2017-11-19,84.4,15.6
2017-11-26,82,18
2017-12-03,81.1,18.9
2017-12-10,81.3,18.7
2017-12-17,79.5,20.5
2017-12-24,80.1,19.9
2017-12-31,83.1,16.9
2018-01-07,87.8,12.2
2018-01-14,87.2,12.8
2018-01-21,85.3,14.7
2018-01-28,83.9,16.1
2018-02-04,84,16
2018-02-11,83.4,16.6
2018-02-18,79.2,20.8
2018-02-25,83.3,16.7
2018-03-04,86.2,13.8
