date,Arab-American,Asian/Pacific Islander,Black,Hispanic/Latino,Native American,Other,Unknown,White
2015-09-23,,,"M,M,M",,,,,"M,M"
2015-09-24,,,M,,M,,,"M,M"
2015-09-25,,,M,,,,,"M,M"
2015-09-27,,,,"F,M",,,,M
2015-09-26,,,M,M,,,,"F,F"
2015-09-28,,,M,M,,,,
2015-09-29,,,"M,M",,M,,,
2015-09-30,,,,,,,,M
2015-10-02,,,,"M,M",,,,"F,M"
2015-10-03,,,,,,,,M
2015-10-04,,,M,,,,,M
2015-10-05,,,M,,,,,"M,M"
2015-10-06,,,,,,,,M
2015-10-07,,,,M,,,,
2015-10-09,,,,M,,,,"M,F"
2015-10-10,,,,,,,M,"M,M,M"
2015-10-11,,M,M,"M,M",,,,
2015-10-12,,,M,,,,,M
2015-10-14,,,M,M,,,M,"M,F"
2015-10-15,,,"M,M","M,M,M",,,,"F,M,M"
2015-10-16,,,M,M,,,M,M
2015-10-17,,,"M,M,M",M,,,,
2015-10-18,,,M,,,,,M
2015-10-19,,,M,,,,,
2015-10-20,,,M,,,,,"M,M,M,M,M"
2015-10-21,,,,"M,M,M",,,,M
2015-10-22,,,"M,M",,,,,
2015-10-23,,,,,,,,"M,F"
2015-10-24,,,"M,M",M,,,,"M,M,M,M,M"
2015-10-26,,M,"M,F",M,,,,
2015-10-27,,,"M,M",,,,,
2015-10-28,,,M,,,,,"M,M,M"
2015-10-30,,,"M,M",M,,,,"M,M"
2015-10-29,,,M,,,,,"M,M"
2015-10-31,,,M,,,,,M
2015-11-01,,,M,,,,,"M,M,M"
2015-11-02,,,M,,,,,M
2015-11-04,M,,M,,,,,"M,M"
2015-11-05,,,,,,,,"M,F,M,M"
2015-11-03,,,,,,,,M
2015-11-06,,,,,,,,"M,M,M,M"
2015-11-09,,,M,"M,M,M",,,,M
2015-11-11,,,"M,M","M,M",,,,M
2015-11-10,,,,M,,,,"M,M,M"
2015-11-12,,,,M,,,,
2015-11-13,,,,M,,,,"M,M"
2015-11-14,,,M,M,,,,
2015-11-15,,,"M,M,M",,,,,M
2015-11-16,,,,,,,,"M,M"
2015-11-17,,,"M,M,M",M,,,,"M,M,M"
2015-11-18,,,"M,M",,,,,
2015-11-19,,,"M,M,M,M",,,,,
2015-11-20,,,,M,,,,"M,M"
2015-11-21,,,,,,,,M
2015-11-22,,,,M,,,,"M,M"
2015-11-23,,,,M,,,,M
2015-11-24,,,M,,,,,"M,M"
2015-11-25,,,,,,,,"F,M,M"
2015-11-27,,,,,,,,M
2015-11-28,,,,,,,,M
2015-11-29,,,,"M,M",,,,"M,M,M"
2015-11-30,,M,M,M,,,,M
2015-12-01,,,,M,,,,M
2015-12-02,,"M,F",M,"M,M,M",,,,
2015-12-03,,,,,,,M,"M,M,M"
2015-12-05,,,,M,,,,"M,F,M,M"
2015-12-06,,,M,,,,,"M,M"
2015-12-09,,,M,,,,,"M,M"
2015-12-08,,,"M,M",,,,,M
2015-12-10,,,M,,,,M,"M,M"
2015-12-11,,,,,,,,M
2015-12-12,,,"M,M,M",M,,,M,"M,M"
2015-12-13,,M,,M,,,,"M,F"
2015-12-14,,M,M,"M,M",,,,"M,M,F,M"
2015-12-16,,,,,,,,M
2015-12-17,,,,,,,,"M,M"
2015-12-15,,,M,,,,,
2015-12-18,,,,M,,,,"M,M"
2015-12-19,,,,M,,,,
2015-12-20,,,"M,M",M,,,,
2015-12-21,,,"M,M,M",M,,,,"M,M,M,M"
2015-12-22,,,,M,,,M,"M,M"
2015-12-23,,,M,,,,,
2015-12-24,,,"M,M",M,,,M,M
2015-12-25,,,,,,,,M
2015-12-26,,,"F,M",M,,,,M
2015-12-27,,,,,,,,"M,M"
2015-12-28,,,,,,,,M
2015-12-29,,M,,,,,F,
2015-12-30,,,,M,,,,M
2015-12-31,,,M,,,,,
2015-12-04,,,M,,,,,
2016-05-25,,,"M,M",,,,,M
2016-01-31,,,"M,M",M,,,,"M,M"
2016-01-01,,,,,,,,M
2016-01-02,,,,,,,,"M,M,M"
2016-01-03,,,M,,,,,
2016-01-04,,,"M,M",,,,,
2016-01-05,,,M,M,,,,"M,M,M,M"
2016-01-06,,,,,,,,M
2016-01-07,,,,M,,,,M
2016-01-08,,,,,,,,"M,M"
2016-01-09,,,,,,,,M
2016-01-10,,,,,,,,F
2016-01-11,,,,,,,,"M,M,M,F,M"
2016-01-12,,,,,M,,,
2016-01-13,,,,,,,,"M,M"
2016-01-14,,,,M,,,,M
2016-01-15,,,M,,,,,M
2016-01-16,,,M,M,,,,"F,M,M"
2016-01-17,,,M,M,,,,"M,M,M,M"
2016-01-18,,,,,,,,"M,M,M,M,M,M"
2016-01-19,,,,M,,,,"M,M,M"
2016-01-20,,,M,,,,,"M,M"
2016-01-21,,,M,,,,,
2016-01-22,,,,,,,,"M,F"
2016-01-23,,,,,,,,M
2016-01-25,,,,M,,,,"M,M"
2016-01-26,,,,,,,,M
2016-01-27,,,"F,M","M,M",,,,"M,M,M"
2016-01-28,,M,M,,,,,M
2016-01-29,,,"M,M",,F,,,F
2016-01-30,,,,"M,M",,,,"M,M"
2016-02-01,,,M,,,,,
2016-02-02,,,,M,M,,,"M,M"
2016-02-03,,,M,,M,,,"M,M"
2016-02-04,,,M,M,,,,"M,M,M"
2016-02-05,,M,M,,,,,"M,M,M,F"
2016-02-06,,,,M,,,,"M,M"
2016-02-07,,,M,,,,,M
2016-02-08,,,"M,M,M",,,,,
2016-02-09,,M,,M,,,,"F,M"
2016-02-10,,,,,M,,,"M,M,M,M"
2016-02-11,,,"M,M",,,,,"M,M"
2016-02-12,,,"M,F",,,,,"M,M"
2016-02-13,,,"M,M,M,M",,,,,
2016-02-14,M,,,M,,,,M
2016-02-15,,,,"M,M",,,,"M,F"
2016-02-16,,,,,,,,"M,M,M"
2016-02-17,,,M,,,,,
2016-02-18,,,,"M,M,M",,,,"M,M"
2016-02-19,,,,,,,,"M,M"
2016-02-20,,,,"M,M,M",,,,M
2016-02-21,,,"F,M,M",,F,,,
2016-02-22,,,,M,F,,,"M,M,M"
2016-02-23,,M,M,M,,,,M
2016-02-24,,,M,"M,M",,,,"M,M,M"
2016-02-25,,,"M,M",,,,,"M,M"
2016-02-26,,,M,,,,,M
2016-02-27,,,,M,,,,
2016-02-28,,,,,,,,"M,M"
2016-02-29,,,M,,,,,
2016-03-01,,,,"M,M",,,,M
2016-03-02,,,,,,,,"M,M"
2016-03-03,,,,M,,,,M
2016-03-04,,,,,,,,"M,M"
2016-03-05,,,,,,,,"M,M"
2016-03-06,,,,M,,,,"M,M"
2016-03-07,,,,"M,M",,,,"M,M,M,M"
2016-03-08,,,,,,,,M
2016-03-10,,,M,"M,M",,,,"M,M"
2016-03-11,,,M,M,,,,"M,M,M"
2016-03-12,,,"M,M,M",,,,,"M,M"
2016-03-13,,,M,M,,,,"M,M,M,F"
2016-03-14,,,M,,,,,
2016-03-15,,,,,,,,"M,M,M"
2016-03-16,,,,"M,M,M,M",,,,"M,M"
2016-03-17,,"M,M","M,M",,,,,
2016-03-18,,,,,,,,M
2016-03-19,,,"F,M,M",,,,,"M,M"
2016-03-20,,,M,M,,,,"M,M"
2016-03-21,,,,,,,,"M,M,M"
2016-03-22,,,,M,,,,M
2016-03-23,,,M,M,,,,"M,M"
2016-03-24,,,"M,M","M,M",,,,"M,M"
2016-03-26,,,,M,,,,"M,M,M,M"
2016-03-27,,,M,,F,,,"M,M"
2016-03-28,,,,,,,,F
2016-03-29,,,,,,,,"M,M,F"
2016-03-30,,,,M,,,,M
2016-03-31,,,"M,M,M,M",,,,,
2016-04-01,,,,"M,M",,,,
2016-04-02,,,M,,,,,
2016-04-03,,,,,,,,"M,M,F,M"
2016-04-04,,,M,M,,,,
2016-04-05,,,M,,,,,M
2016-04-06,,,F,M,,,,"M,M"
2016-04-07,,,,M,M,,,M
2016-04-08,,,"M,M",,,,,F
2016-04-09,,,"M,M",,,,,
2016-04-10,,,,"M,M",,,,"M,M"
2016-04-11,,,"M,F",M,,,,
2016-04-12,,,,M,,,,"M,M"
2016-04-13,,,M,,,,,"M,M"
2016-04-14,,,,,,,,M
2016-04-15,,,M,M,,,,"M,M"
2016-04-16,,,,,,,,"M,M"
